# role|intent|variant_type|index|text
director|discipline|colloquial|028|我想查一下学生违纪处理记录。
director|discipline|entity|029|查一下七年级二班本周纪律扣分统计。
director|discipline|short|030|看违纪记录。
director|duty|standard|031|查询本周卫生检查排名。
director|duty|standard|032|查看今天值班教师安排。
director|duty|colloquial|033|帮我查一下这周卫生检查排名。
director|duty|colloquial|034|我想看一下今天值班教师安排。
director|duty|entity|035|看一下周五下午的值班教师安排。
director|duty|short|036|看值班安排。
director|schedule|standard|037|打开课程调课审批列表。
director|schedule|standard|038|查询本周教师代课情况。
director|schedule|colloquial|039|帮我打开调课审批列表。
director|schedule|colloquial|040|我想查一下这周教师代课情况。
director|schedule|entity|041|看一下数学组本周的代课安排。
director|schedule|short|042|看调课审批。
director|teacher_management|standard|043|查看未完成备课检查的教师名单。
director|teacher_management|standard|044|查询本周班主任工作完成情况。
director|teacher_management|colloquial|045|帮我看一下哪些教师还没完成备课检查。
director|teacher_management|colloquial|046|我想查查本周班主任工作完成情况。
director|teacher_management|entity|047|看一下七年级班主任本周工作完成情况。
director|teacher_management|short|048|看备课检查。
director|focus_students|standard|049|查询需要重点关注的学生。
director|focus_students|standard|050|查看本月家长反馈处理情况。
director|focus_students|colloquial|051|帮我查一下需要重点关注的学生。
director|focus_students|colloquial|052|我想看一下这个月家长反馈处理情况。
director|focus_students|entity|053|查一下张明和李浩这两个学生的预警情况。
director|focus_students|short|054|看重点学生。
director|briefing|standard|055|生成本年级周工作简报。
director|briefing|standard|056|查看本年级数学成绩排名。
director|briefing|colloquial|057|帮我生成本年级周简报。
director|briefing|colloquial|058|我想看一下本年级数学成绩排名。
director|briefing|entity|059|生成一份包含七年级一班数据的周工作简报。
director|briefing|short|060|生成年级简报。
teacher|workspace|standard|001|打开我的教学工作台。
teacher|workspace|standard|002|返回教师工作台首页。
teacher|workspace|colloquial|003|帮我打开教学工作台。
teacher|workspace|colloquial|004|我想回到教师工作台首页。
teacher|workspace|entity|005|切到七年级数学教师工作台首页。
teacher|workspace|short|006|打开教学工作台。
teacher|schedule|standard|007|查看今天我的课程安排。
teacher|schedule|standard|008|查询下一节课的上课班级。
teacher|schedule|colloquial|009|帮我看一下今天我的课表。
teacher|schedule|colloquial|010|我想查一下下一节课上哪个班。
teacher|schedule|entity|011|看一下今天下午第三节课的上课班级。
teacher|schedule|short|012|看我的课表。
teacher|roster|standard|013|打开七年级一班学生名单。
teacher|roster|standard|014|查看今天本班学生考勤情况。
teacher|roster|colloquial|015|帮我打开七年级一班学生名单。
teacher|roster|colloquial|016|我想看一下今天本班考勤情况。
teacher|roster|entity|017|打开七年级二班学生名单。
teacher|roster|short|018|看班级名单。
teacher|attendance_rollcall|standard|019|为今天第一节课发起点名。
teacher|attendance_rollcall|standard|020|查询本周我的调课记录。
teacher|attendance_rollcall|colloquial|021|帮我给今天第一节课发起点名。
teacher|attendance_rollcall|colloquial|022|我想查一下这周我的调课记录。
teacher|attendance_rollcall|entity|023|给七年级一班今天第一节数学课发起点名。
teacher|attendance_rollcall|short|024|发起点名。
teacher|homework|standard|025|打开我的作业批改列表。
teacher|homework|standard|026|查看未提交作业的学生名单。
teacher|homework|colloquial|027|帮我打开作业批改列表。
teacher|homework|colloquial|028|我想看一下谁还没交作业。
teacher|homework|entity|029|查一下七年级一班语文作业未提交名单。
teacher|homework|short|030|看未交作业。
teacher|score_analysis|standard|031|查询本次作业完成率。
teacher|score_analysis|standard|032|打开最近一次考试成绩分析。
teacher|score_analysis|colloquial|033|帮我查一下这次作业完成率。
teacher|score_analysis|colloquial|034|我想看一下最近一次考试成绩分析。
teacher|score_analysis|entity|035|看一下七年级一班最近一次数学考试成绩分析。
teacher|score_analysis|short|036|看成绩分析。
teacher|classroom_record|standard|037|查看本班数学成绩分布。
teacher|classroom_record|standard|038|打开学生课堂表现记录。
teacher|classroom_record|colloquial|039|帮我看一下本班数学成绩分布。
teacher|classroom_record|colloquial|040|我想打开学生课堂表现记录。
teacher|classroom_record|entity|041|打开张明的课堂表现记录。
teacher|classroom_record|short|042|看课堂表现。
teacher|praise|standard|043|给张明添加课堂表扬记录。
teacher|praise|standard|044|查询成绩下降明显的学生。
teacher|praise|colloquial|045|帮我给张明加一条课堂表扬记录。
teacher|praise|colloquial|046|我想查一下成绩下降比较明显的学生。
teacher|praise|entity|047|给李晓彤添加一条课堂表扬记录。
teacher|praise|short|048|加表扬记录。
teacher|communication|standard|049|查看本周家校沟通记录。
teacher|communication|standard|050|打开我的备课任务。
teacher|communication|colloquial|051|帮我看一下这周家校沟通记录。
teacher|communication|colloquial|052|我想打开我的备课任务。
teacher|communication|entity|053|看一下七年级一班本周家校沟通记录。
teacher|communication|short|054|看家校沟通。
teacher|briefing|standard|055|查询本学期我的授课课时。
teacher|briefing|standard|056|生成本班学习情况简报。
teacher|briefing|colloquial|057|帮我查一下这学期我的授课课时。
teacher|briefing|colloquial|058|我想生成本班学习情况简报。
teacher|briefing|entity|059|生成七年级一班本周学习情况简报。
teacher|briefing|short|060|生成班级简报。
staff|workspace|standard|001|打开我的办公工作台。
staff|workspace|standard|002|返回教职工服务首页。
staff|workspace|colloquial|003|帮我打开办公工作台。
staff|workspace|colloquial|004|我想回到教职工服务首页。
staff|workspace|entity|005|切到后勤办公工作台首页。
staff|workspace|short|006|打开办公台。
staff|approval_leave|standard|007|查看今天我的待办事项。
staff|approval_leave|standard|008|查询我提交的审批进度。
staff|approval_leave|colloquial|009|帮我看一下今天我的待办。
staff|approval_leave|colloquial|010|我想查一下我提交的审批进度。
staff|approval_leave|entity|011|查一下设备采购审批的处理进度。
staff|approval_leave|short|012|看审批进度。
staff|leave|standard|013|打开请假申请页面。
staff|leave|standard|014|提交今天下午的请假申请。
staff|leave|colloquial|015|帮我打开请假申请页面。
staff|leave|colloquial|016|我想提交今天下午的请假申请。
staff|leave|entity|017|提交明天下午两点到五点的请假申请。
staff|leave|short|018|提请假申请。
staff|attendance|standard|019|查看本月我的考勤记录。
staff|attendance|standard|020|查询本周我的值班安排。
staff|attendance|colloquial|021|帮我看一下这个月我的考勤记录。
staff|attendance|colloquial|022|我想查一下这周我的值班安排。
staff|attendance|entity|023|看一下周三下午的值班安排。
staff|attendance|short|024|看我的考勤。
staff|notice|standard|025|打开校园通知公告列表。
staff|notice|standard|026|查看最新一条学校通知。
staff|notice|colloquial|027|帮我打开学校通知列表。
staff|notice|colloquial|028|我想看一下最新一条学校通知。
staff|notice|entity|029|打开后勤处本周的通知公告列表。
staff|notice|short|030|看学校通知。
staff|meeting_room|standard|031|查询会议室预约情况。
staff|meeting_room|standard|032|预约明天下午三点的会议室。
staff|meeting_room|colloquial|033|帮我查一下会议室预约情况。
staff|meeting_room|colloquial|034|我想预约明天下午三点的会议室。
staff|meeting_room|entity|035|预约行政楼三楼第一会议室明天下午三点。
staff|meeting_room|short|036|订会议室。
staff|repair|standard|037|打开设备报修页面。
staff|repair|standard|038|提交办公室打印机报修申请。
staff|repair|colloquial|039|帮我打开设备报修页面。
staff|repair|colloquial|040|我想提交办公室打印机报修申请。
staff|repair|entity|041|提交行政楼二楼办公室打印机报修申请。
staff|repair|short|042|提报修。
staff|cafeteria|standard|043|查看我的报修处理进度。
staff|cafeteria|standard|044|查询本周食堂用餐安排。
staff|cafeteria|colloquial|045|帮我看一下我的报修处理进度。
staff|cafeteria|colloquial|046|我想查一下这周食堂用餐安排。
staff|cafeteria|entity|047|看一下周五中午的食堂用餐安排。
staff|cafeteria|short|048|看食堂安排。
staff|payroll|standard|049|打开工资条查询页面。
staff|payroll|standard|050|查看本月工资发放情况。
staff|payroll|colloquial|051|帮我打开工资条查询页面。
staff|payroll|colloquial|052|我想看一下本月工资发放情况。
staff|payroll|entity|053|查询四月份工资发放情况。
staff|payroll|short|054|看工资条。
staff|training|standard|055|查询我的培训学习任务。
staff|training|standard|056|打开教职工通讯录。
staff|training|colloquial|057|帮我查一下我的培训学习任务。
staff|training|colloquial|058|我想打开教职工通讯录。
staff|training|entity|059|打开后勤处教职工通讯录。
staff|training|short|060|看培训任务。
